Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date,original_lon,original_lat,mapping_distance_meters,mapped_to_sales_idx
Tile Re Roof,Permit Expired,0,ePlan,,-81.96423980106505,26.52275124951045,2023-08-01,-81.96411993731,26.522596357863,21.802453896504915,1339
Replace 2 condensing units damaged during hurricane Ian. Like for like.,Closed-CC Issued,0,ePlan,,-81.96528911891392,26.51631527498343,2022-12-01,-81.965135004262,26.516194186981,21.818047034387323,1182
Re-Roof Tile to Eagle Bel Air Tile****Revision - Underlayment changed to: FL11602-R15****,Closed-CC Issued,1,ePlan,,-81.9743246720792,26.51275062846223,2023-02-01,-81.9745189893,26.512776897164,21.82815374699254,1454
****Revision - Underlayment changed to: FL11602-R15****,Closed-Revision Approved,1,ePlan,,-81.9743246720792,26.51275062846223,2023-04-01,-81.9745189893,26.512776897164,21.82815374699254,1454
RE-ROOF,Closed-CC Issued,0,ePlan,,-81.96294749574572,26.508776731497505,2023-03-01,-81.962924572973,26.508971606534,21.84305295573046,798
INSTALL 10 IMPACT WINDOWS,Closed-CC Issued,0,ePlan,,-81.95558732486181,26.506627328284733,2022-07-01,-81.955391074934,26.506630486079,21.84936992382859,672
"Emergency reconstruction of damage caused by hurricane Ian. Interior onlyLike for like: drywall, elec devices, plumb fixtures, duct work",Closed-CC Issued,0,ePlan,,-81.95558732486181,26.506627328284733,2022-11-01,-81.955391074934,26.506630486079,21.84936992382859,672
INSTALL NEW GROUNDING SYSTEM,Closed-CC Issued,0,ePlan,,-81.96546182629326,26.516157014299303,2022-12-01,-81.9653425344,26.516001028738,21.860156195726447,1183
New Construction pool w/ deck,Closed-CC Issued,0,ePlan,,-81.96546182629326,26.516157014299303,2023-03-01,-81.9653425344,26.516001028738,21.860156195726447,1183
6ft PVC fence with gates; 4' aluminum picket with no gates,Closed-CC Issued,0,ePlan,,-81.96546182629326,26.516157014299303,2023-06-01,-81.9653425344,26.516001028738,21.860156195726447,1183
"Reroofing of property, SFR, tile to tile",Closed-CC Issued,0,ePlan,,-81.97027338986345,26.508732968874355,2022-09-01,-81.970233692554,26.508925385417,21.870910467102984,223
Tile Roof Replacement,Closed-CC Issued,0,ePlan,,-81.97022885131712,26.509164711438515,2023-08-01,-81.970386130027,26.509282547717,21.877136230757735,128
Hurricane Ian Damage - Re-model,Closed-CC Issued,0,Paper Submittal,,-81.96465530142738,26.508897940136364,2022-12-01,-81.96474817943,26.508724495316,21.90188935703719,1009
"Install pool, paver deck and equipment.",Closed-CC Issued,0,ePlan,,-81.97435510652868,26.513580503325805,2023-01-01,-81.974551905899,26.513578935417,21.908401176154705,1457
Remove existing tile roofing system and replace with new tile roofing system,Closed-CC Issued,0,ePlan,,-81.97435510652868,26.513580503325805,2023-02-01,-81.974551905899,26.513578935417,21.908401176154705,1457
Boat house lift roof only remove and replace existing tile roofing system with new tile roof system.,Closed-CC Issued,0,ePlan,,-81.97435510652868,26.513580503325805,2023-08-01,-81.974551905899,26.513578935417,21.908401176154705,1457
Disconnect all damaged (due to salt water flooding) copper pipe from main ball valve through out the home and install new all new potable water system. All piping for new potable water system will be Pex,Permit Expired,0,ePlan,,-81.95505381086662,26.50580934281181,2022-12-01,-81.9552466877,26.505769040283,21.93477671489385,696
Interior Remodel--Hurricane Ian.,Closed-CC Issued,0,ePlan,,-81.95505381086662,26.50580934281181,2023-01-01,-81.9552466877,26.505769040283,21.93477671489385,696
Remove hurricane damaged tiles and underlayment.Re-nail decking to code.  Install self adhered underlayment and flashing.  Install metal tiles to manufacturers specifications.,Closed-Withdrawn,0,ePlan,,-81.95505381086662,26.50580934281181,2023-04-01,-81.9552466877,26.505769040283,21.93477671489385,696
A/C CHANGE OUT 2.5 TON 15 SEER 8 KW RUUD SPLIT SYSTEM,Closed-CC Issued,0,ePlan,,-81.95557220299527,26.50571954929428,2022-11-01,-81.955374392917,26.505725079799,22.028822687888088,678
Installing pv solar panels on existing sfr roof,Closed-CC Issued,0,ePlan,,-81.95558489255878,26.50647602898332,2022-07-01,-81.955387784489,26.506457920264,22.034476449156138,673
Emergency reconstruction of damage caused by hurricane Ian.,Closed-Withdrawn,0,ePlan,,-81.95558489255878,26.50647602898332,2022-11-01,-81.955387784489,26.506457920264,22.034476449156138,673
replacement pool enclosure same footprint hurricane damage,Closed-CO Issued,0,ePlan,,-81.97480187470047,26.511696928243133,2023-03-01,-81.974604338488,26.511710803427,22.043911206578464,1440
"R01 - Unit on permit changed mid-install- 2.5 ton 15 seer 8kw icp split system, c/u model: N4A5S30AKAWAAAAC  a/h model: FEM4X3000BL05E",Closed-Revision Approved,1,ePlan,,-81.95556964573119,26.505568244807307,2022-10-01,-81.95537336562,26.505595639862,22.061694930947688,679
AC CHANGE OUT,Closed-CC Issued,1,ePlan,,-81.95556964573119,26.505568244807307,2022-10-01,-81.95537336562,26.505595639862,22.061694930947688,679
"Installing 2 Storm Catcher Rolldown Screens MOT & 10 Storm Catcher Screens (various) *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.95864736725926,26.50520096592287,2023-05-01,-81.958591004952,26.505391318905,22.09946427421379,177
Install 6 accordion and 3 Bahama shutters,Closed-CC Issued,0,ePlan,,-81.95864736725926,26.50520096592287,2023-06-01,-81.958591004952,26.505391318905,22.09946427421379,177
"Hurricane Ian Repairs. Replace outlets, replace removed insulation and drywall under 4', install new kitchen and bathroom cabinets and counters***R01-Replace air handler and condenser unit***",Permit Expired,1,ePlan,,-81.9555798105711,26.506173434349872,2022-10-01,-81.95538202621,26.506155930088,22.103413014514913,675
Replace A/C,Closed-Withdrawn,0,ePlan,,-81.9555798105711,26.506173434349872,2023-03-01,-81.95538202621,26.506155930088,22.103413014514913,675
Replace air handler and condenser unit,Closed-Revision Approved,1,ePlan,,-81.9555798105711,26.506173434349872,2022-04-01,-81.95538202621,26.506155930088,22.103413014514913,675
Replace A/C Condenser,Permit Expired,0,ePlan,,-81.95560267812114,26.50753503555639,2023-06-01,-81.955409172381,26.507579598062,22.104880646795305,666
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CC Issued,1,ePlan,,-81.96937853652749,26.507970853635182,2023-04-01,-81.969399336141,26.507773318241,22.111205487558372,304
Tile tear off to stone coasted steel,Closed-CC Issued,0,ePlan,,-81.96937853652749,26.507970853635182,2023-09-01,-81.969399336141,26.507773318241,22.111205487558372,304
"TILE RE-ROOF. TILE OFF, TILE ON.",Closed-CC Issued,0,ePlan,,-81.97123356151674,26.50884328061769,2022-11-01,-81.971070426922,26.50872942952,22.14539781704975,242
Replace existing windows/Sliders with Impact windows & Sliding Doors Size for Size,Closed-CC Issued,0,ePlan,,-81.95557467909178,26.505870807684648,2023-02-01,-81.955376267932,26.505853939911,22.16680310121563,677
REMOVE AND REPLACE ROOF TILE TO TILE,Closed-CC Issued,0,ePlan,,-81.97094269000844,26.508451783642084,2023-06-01,-81.971112145377,26.50855648937,22.17432127930298,309
CABINETS & COUNTER TOPS IN KITCHEN & MASTER BATHROOM add additional bathroom,Closed-CC Issued,1,ePlan,,-81.97094269000844,26.508451783642084,2023-08-01,-81.971112145377,26.50855648937,22.17432127930298,309
A/C CHANGE OUT LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.9554148400058,26.50842368410304,2022-10-01,-81.955247290365,26.508315815121,22.18275498045887,661
replacing size for size 7 windows and 2 sets of sliding glass doors with impact,Closed-CC Issued,0,ePlan,,-81.9554148400058,26.50842368410304,2023-03-01,-81.955247290365,26.508315815121,22.18275498045887,661
"Replacing 11 SXS Windows ***INSPECTIONS DONE BY PRIVATE PROVIDER-INNOVATIVE CONSTRUCTION INSPECTION, INC***",Closed-CC Issued,0,ePlan,,-81.95559753694864,26.5072323699274,2022-07-01,-81.955403414102,26.507277607885,22.188774326438818,668
SET/INSTALL 250GALLON UG LP TANK.,Permit Expired,0,ePlan,,-81.95559753694864,26.5072323699274,2022-08-01,-81.955403414102,26.507277607885,22.188774326438818,668
SET/SECURE 22KW GENERATOR. INSTALL/WIRE 200AMP ATS.,Permit Expired,0,ePlan,,-81.95559753694864,26.5072323699274,2022-08-01,-81.955403414102,26.507277607885,22.188774326438818,668
"Emergency reconstruction of damage caused by hurricane Ian.Drywall, elec, plumbing, HVAC like for like",Permit Issued,0,ePlan,,-81.95559753694864,26.5072323699274,2022-11-01,-81.955403414102,26.507277607885,22.188774326438818,668
Re-Roof; Remove the Existing Tile Roof; Install New Tile Roof,Closed-CC Issued,0,ePlan,,-81.9693947769135,26.509251527053515,2023-05-01,-81.969444550719,26.509058369896,22.204676241186846,202
Set two 420 LB above ground tanks. Run line to future inlet.,Closed-CC Issued,0,ePlan,,-81.9746610730691,26.516022156460668,2022-07-01,-81.974851946232,26.51596390249,22.21554796129134,491
REMOVE AND REPLACE STANDING SEAM METAL ROOF AND UNDERLAYMENT *Inspections Done By Private Provider â Skye Tec Engineering Services*,Closed-CC Issued,0,ePlan,,-81.96752921611653,26.5077819129258,2023-04-01,-81.967671256871,26.507922093374,22.215560393796945,541
replacing 2 doors,Closed-CC Issued,0,ePlan,,-81.95560963481608,26.507835106585063,2023-05-01,-81.955414930659,26.507881588238,22.283542789569914,664
SET/INSTALL 250GALLON UG LP TANK.,Closed-Withdrawn,0,ePlan,,-81.95559254477672,26.506929883261822,2022-09-01,-81.955397655823,26.506975617709,22.284402269996356,670
SET/SECURE 22KW GENERATOR. INSTALL/WIRE 200AMP ATS.,Closed-Withdrawn,0,ePlan,,-81.95559254477672,26.506929883261822,2022-09-01,-81.955397655823,26.506975617709,22.284402269996356,670
Replace existing windows with impact ***INSPECTIONS DONE BY PRIVATE PROVIDER-SKYETEC ENGINEERING SERVICES ***,Closed-CC Issued,0,ePlan,,-81.96277116973431,26.510270697015432,2022-07-01,-81.962571981525,26.510248378934,22.312382618059434,828
Disconnect all damaged (due to salt water flooding) copper pipe from main ball valve through out the home and install new all new potable water system. All piping for new potable water system will be Pex,Closed-Withdrawn,0,ePlan,,-81.95505034678366,26.50560302846968,2022-12-01,-81.955244975538,26.505553307054,22.361905293975074,697
"Remove and install drywall, Flooring, outlets. cabinets, texture, paint, tile vanities, interior doors, trim, casing, granite, marble, interior doors, interior bifold doors and hardware",Closed-CC Issued,0,ePlan,,-81.95505034678366,26.50560302846968,2023-01-01,-81.955244975538,26.505553307054,22.361905293975074,697
Replace existing pool cage due to hurricane (like for like),Closed-CC Issued,0,ePlan,,-81.9555671046494,26.505416947798857,2023-06-01,-81.955372338322,26.505466199925,22.36387886812852,680
"Installing 3 Storm Catcher Rolldown Screens MOT & 1 Standard Alum RD MOT ***Inspections Done By Private Provider-Innovative Construction Inspection, Inc***",Closed-CC Issued,0,ePlan,,-81.96590857048857,26.518863395865434,2023-08-01,-81.965713644236,26.518814698795,22.366082577939775,754
"Install / Replace Screen Enclosure damaged by Hurricane Ian, Going back in the same footprint.",Closed-CC Issued,0,ePlan,,-81.96590857048857,26.518863395865434,2023-09-01,-81.965713644236,26.518814698795,22.366082577939775,754
Split AC Change Out,Closed-CC Issued,0,ePlan,,-81.9603878262535,26.52176088173616,2022-08-01,-81.960204579456,26.521678261346,22.376570974960398,1094
"Installing 5 Mot Rd Screens *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,1,ePlan,,-81.95508152345306,26.50745985823406,2022-10-01,-81.95527949255,26.507495270168,22.38771363093858,688
Adding opening 5,Closed-Revision Approved,1,ePlan,,-81.95508152345306,26.50745985823406,2022-11-01,-81.95527949255,26.507495270168,22.38771363093858,688
Size for size impact windows  - 3 openings,Closed-CC Issued,0,ePlan,,-81.95508152345306,26.50745985823406,2022-11-01,-81.95527949255,26.507495270168,22.38771363093858,688
"A/C replacement - like for like - 3T, 18S, 10KW",Closed-CC Issued,0,ePlan,,-81.95508152345306,26.50745985823406,2022-12-01,-81.95527949255,26.507495270168,22.38771363093858,688
Interior Remodel- Hurricane Ian,Ready-Documents Required,0,Paper Submittal,,-81.95508152345306,26.50745985823406,2023-02-01,-81.95527949255,26.507495270168,22.38771363093858,688
Shingle Re-Roof,Permit Expired,0,ePlan,,-81.96541459589474,26.51893255435485,2023-01-01,-81.96555782263,26.518790641824,22.445011904575388,1401
Replacement of 1 A/C system,Closed-CC Issued,1,ePlan,,-81.95558235138087,26.50632473133841,2022-10-01,-81.955384494044,26.506285354449,22.457431265324427,674
Emergency reconstruction of damage caused by hurricane Ian.,Closed-CC Issued,1,ePlan,,-81.95558235138087,26.50632473133841,2022-11-01,-81.955384494044,26.506285354449,22.457431265324427,674
Installation of 2 motorized roll down screens and 2 motorized roll down shutters impact rated,Closed-CC Issued,0,ePlan,,-81.95558235138087,26.50632473133841,2022-11-01,-81.955384494044,26.506285354449,22.457431265324427,674
Replace 2 Split System AC Systems,Closed-CC Issued,0,ePlan,,-81.96440538711389,26.52219259772909,2022-12-01,-81.964371805133,26.522391624615,22.468846767294114,1343
REPLACE SCREEN ENCLOSURE,Closed-CO Issued,0,ePlan,,-81.95707223457659,26.5069366962325,2023-01-01,-81.957180899027,26.507106872814,22.476726938342328,157
RE-ROOF,Closed-CC Issued,0,ePlan,,-81.95707223457659,26.5069366962325,2023-03-01,-81.957180899027,26.507106872814,22.476726938342328,157
Replacement pool enclosure due to hurricane damage,Closed-CO Issued,0,ePlan,,-81.97247223054138,26.509350553744863,2023-02-01,-81.972271372797,26.509373015452,22.498860323161615,1424
replacing 21 size for size windows**R01**Update floor plan,Closed-CC Issued,1,ePlan,,-81.97247223054138,26.509350553744863,2023-06-01,-81.972271372797,26.509373015452,22.498860323161615,1424
Updated floor plan,Closed-Revision Approved,1,ePlan,,-81.97247223054138,26.509350553744863,2023-07-01,-81.972271372797,26.509373015452,22.498860323161615,1424
Hurricane Ian repairs. Interior Remodel.,Permit Expired,0,ePlan,,-81.95557727744146,26.50602209106582,2022-10-01,-81.955378735766,26.505983364273,22.518184637711027,676
Replace Condenser Only,Closed-CC Issued,0,ePlan,,-81.95557727744146,26.50602209106582,2022-10-01,-81.955378735766,26.505983364273,22.518184637711027,676
Nordic Plumbing will install all new potable water system inside the home using PEX water piping and fittings: Re-Pipe,Permit Expired,0,ePlan,,-81.9643154944101,26.52122342675136,2023-08-01,-81.964432776785,26.521388493297,22.541164769196296,1351
Replace 5 impact window size fo size,Closed-CC Issued,0,ePlan,,-81.9643154944101,26.52122342675136,2023-08-01,-81.964432776785,26.521388493297,22.541164769196296,1351
Replace 200 amp panel (like for like),Closed-CC Issued,0,ePlan,,-81.9651065447188,26.51648277190189,2022-12-01,-81.964927474123,26.516387345224,22.58795794119851,1181
HVAC change out of mini split,Closed-CC Issued,0,ePlan,,-81.96384589328416,26.5213697194235,2022-11-01,-81.963943234455,26.521547770221,22.58929128892758,1353
Remove and install siding.Â Remove and install stucco.,Closed-Voided,0,ePlan,,-81.96384589328416,26.5213697194235,2023-05-01,-81.963943234455,26.521547770221,22.58929128892758,1353
replace  select windows and doors size for size with impact products,Closed-CC Issued,0,ePlan,,-81.96384589328416,26.5213697194235,2023-08-01,-81.963943234455,26.521547770221,22.58929128892758,1353
Remove and Install Siding & Stucco.,Closed-CC Issued,0,ePlan,,-81.96384589328416,26.5213697194235,2023-08-01,-81.963943234455,26.521547770221,22.58929128892758,1353
Shingle Roof Replacement,Closed-CC Issued,0,ePlan,,-81.96236342419076,26.50929645814252,2023-03-01,-81.96222559396,26.509147373437,22.601913962580248,821
"DRYWALL, INSULATION, INTERIOR DOORS, CABINETS, ELECTRIC, PLUMBING, HVAC, EXTERIOR DOORS",Closed-CC Issued,0,Paper Submittal,,-81.9556052189555,26.507686332970803,2022-11-01,-81.955412462825,26.507752163877,22.674502446969615,665
Emergency reconstruction of damage caused by hurricane Ian.,Closed-Withdrawn,0,ePlan,,-81.9556052189555,26.507686332970803,2022-12-01,-81.955412462825,26.507752163877,22.674502446969615,665
"Replacing 4 SXS Alum SH Impact Windows & 4 SXS Eyebrow Impact Windows*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.96927834676066,26.5106242727864,2023-02-01,-81.969154646595,26.510462401931,22.678674974272905,258
Shingle and Skylight Re Roof,Closed-CC Issued,0,ePlan,,-81.9624963663347,26.5121643106473,2022-10-01,-81.962438902023,26.51196822946,22.745805912763085,859
REPLACE LIKE FOR LIKE 2.5 TON 16 SEER SPLIT SYSTEM,Closed-CC Issued,0,ePlan,,-81.97574875567271,26.512596356488704,2022-07-01,-81.975551919563,26.512651281162,22.748855197394814,1474
"Installing 2 Panels &  Replacing 20 SXS Windows & 3  Sliding Glass Doors ***INSPECTIONS DONE BY PRIVATE PROVIDER-INNOVATIVE CONSTRUCTION INSPECTION, INC***",Closed-CC Issued,0,ePlan,,-81.97574875567271,26.512596356488704,2022-08-01,-81.975551919563,26.512651281162,22.748855197394814,1474
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-Voided,0,ePlan,,-81.97574875567271,26.512596356488704,2023-01-01,-81.975551919563,26.512651281162,22.748855197394814,1474
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck with A Screen Roof,Closed-CC Issued,0,ePlan,,-81.97574875567271,26.512596356488704,2023-01-01,-81.975551919563,26.512651281162,22.748855197394814,1474
"AC Change Out, Like for Like",Closed-CC Issued,0,ePlan,,-81.97574875567271,26.512596356488704,2023-07-01,-81.975551919563,26.512651281162,22.748855197394814,1474
replacing 3 windows 4 doors and 2 sidelights,Closed-CC Issued,0,ePlan,,-81.9691717853323,26.50797856320892,2023-02-01,-81.969212116383,26.507778181087,22.7538702047684,305
LIKE FOR LIKE AC CHANGEOUTREPLACEMENT SPLIT SYSTEM3.5 TON- 16.20 SEER- 10 KW,Closed-CC Issued,0,ePlan,,-81.9691717853323,26.50797856320892,2023-07-01,-81.969212116383,26.507778181087,22.7538702047684,305
Install Hurricane Ian Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CO Issued,0,ePlan,,-81.97486910050674,26.51090373381135,2022-11-01,-81.974868051605,26.510698952178,22.796590457428714,1429
TILE TO TILE REROOF,Closed-CC Issued,0,ePlan,,-81.97486910050674,26.51090373381135,2023-07-01,-81.974868051605,26.510698952178,22.796590457428714,1429
Revision to install Tile  - submitted incorrectly,Closed-Revision Approved,1,ePlan,,-81.96827543814686,26.50979279067838,2022-12-01,-81.968480047634,26.509781922572,22.80923654794188,234
Emergency reconstruction of damage caused by hurricane Ian.,Closed-CC Issued,0,ePlan,,-81.955046882325,26.50539671430265,2022-11-01,-81.955243263376,26.505337573826,22.83094584653661,698
RE ROOF TILE TO TILE,Closed-CC Issued,0,ePlan,,-81.955046882325,26.50539671430265,2023-04-01,-81.955243263376,26.505337573826,22.83094584653661,698
"Remodel Left side of home including turning garage into Living space***R01: Upon drywall removal, block wall and tie beam were found to be compromised. Revision to add 2 additional steel columns and 1 additional beam***",Closed-CC Issued,2,ePlan,,-81.96463617535125,26.52164031084581,2022-10-01,-81.964496123625,26.521489814999,22.88526023433245,1349
INSTALL 155LF OF 4' HIGH ALUMINUM OPEN PICKET FENCE WITH GATES,Closed-CC Issued,0,ePlan,,-81.96463617535125,26.52164031084581,2022-11-01,-81.964496123625,26.521489814999,22.88526023433245,1349
"R01: Upon drywall removal, block wall and tie beam were found to be compromised. Revision to add 2 additional steel columns and 1 additional beam",Closed-Revision Approved,2,ePlan,,-81.96463617535125,26.52164031084581,2022-02-01,-81.964496123625,26.521489814999,22.88526023433245,1349
adding steel flitch plate and 1 steel column for additional support,Closed-Revision Approved,2,ePlan,,-81.96463617535125,26.52164031084581,2022-05-01,-81.964496123625,26.521489814999,22.88526023433245,1349
2- ROLLDOWN SHUTTERS WITH ELECTRICAL,Closed-CC Issued,0,ePlan,,-81.95593284146949,26.52218212013033,2023-05-01,-81.955728242089,26.522203194729,22.896509438290533,704
replace 3 ton 10 kw 14 seer split system,Closed-CC Issued,0,ePlan,,-81.96613141549922,26.508040433317785,2022-10-01,-81.966199628876,26.508234560275,22.905517716074232,547
"replacing 7 size for size windows ,1 door with sidelight",Closed-CC Issued,0,ePlan,,-81.96873021295235,26.507490553102016,2023-03-01,-81.968823584419,26.507674298607,22.94397867184283,319
REMOVE AND REPLACE TILE ROOF,Closed-CC Issued,0,ePlan,,-81.96873021295235,26.507490553102016,2023-08-01,-81.968823584419,26.507674298607,22.94397867184283,319
Replace (1) garage door size for size,Closed-CC Issued,0,ePlan,,-81.9676056176476,26.510033080570345,2023-07-01,-81.967559884417,26.510234269875,22.96773725477297,1052
Interior Remodel- Hurricane Ian.,Closed-CC Issued,1,ePlan,,-81.96680649509493,26.51459825062334,2022-12-01,-81.966599411333,26.514590518355,23.06862860069701,1222
6' VINYL HURRICANE IAN REPAIR,Closed-CC Issued,0,ePlan,,-81.96821951555009,26.505631666872617,2023-07-01,-81.968414006692,26.50555971988,23.08465845998331,337
Tile re-roof like for like,Closed-CC Issued,0,ePlan,,-81.9583416853991,26.50520776822525,2022-07-01,-81.958432263965,26.50539452579,23.10603802013132,178
AC REPLACEMENT LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.95504341750231,26.50519040004733,2022-11-01,-81.955240441702,26.505122492601,23.19892682356887,699
REROOF TILE TO TILE,Closed-CC Issued,0,ePlan,,-81.95504341750231,26.50519040004733,2023-09-01,-81.955240441702,26.505122492601,23.19892682356887,699
size per size replacement of 6 entry doors with impact product,Closed-CC Issued,0,ePlan,,-81.96637495077462,26.50801480959952,2023-02-01,-81.966387710811,26.508222872747,23.205105088305938,546
"LIKE FOR LIKE AC CHANGE OUT SPLIT SYSTEM4 TON, 16 SEER, 9 KW",Closed-CC Issued,0,ePlan,,-81.96998276763186,26.507961465011068,2022-08-01,-81.970006420756,26.507754346131,23.206335691100392,301
REPLACE EXISTING INTERIOR PRESSURE WATERLINES PEX AND CVPC,Closed-CC Issued,0,ePlan,,-81.96555388476604,26.515354975748053,2022-10-01,-81.965706903658,26.51549654992,23.206422919501403,1210
6' WOOD HURRICANE REPLACEMENT WITH GATES,Closed-CC Issued,0,ePlan,,-81.96555388476604,26.515354975748053,2023-05-01,-81.965706903658,26.51549654992,23.206422919501403,1210
Install Hurricane Ian Exact Footprint Replacement Pool Enclosure Over Existing Deck With A Screen Roof.,Closed-CO Issued,0,ePlan,,-81.96878581121673,26.506332618575087,2022-12-01,-81.968577554822,26.506323076284,23.207425156316766,276
"remove and replace roof, tile to tile",Closed-CC Issued,1,ePlan,,-81.9694964459071,26.50557873056733,2022-10-01,-81.969460922224,26.505373231057,23.215486628743218,282
"Replace Insulation, drywall, Cabinets & Flooring due to hurricane damage",Closed-CC Issued,0,ePlan,,-81.9694964459071,26.50557873056733,2023-03-01,-81.969460922224,26.505373231057,23.215486628743218,282
Replace Outside Condenser along with Attic Air Handler. All hook ups are to Existing lines,Permit Expired,0,ePlan,,-81.96917201978425,26.51072312512421,2022-10-01,-81.969037202978,26.510563512328,23.258106530977702,259
AC CHANGEOUT X3 3 TON & 3 TON SPLIT SYSTEMS BOTH ARE LIKE FOR LIKE WITH DUCT MODIFICATIONS1.5 TON MINI-SPLIT SYSTEM LIKE FOR LIKE,Closed-CC Issued,0,ePlan,,-81.9592242933463,26.511089095568213,2023-01-01,-81.959061314207,26.511219978758,23.26897151118353,932
Remove and replace 10 windows. Like for like. No structural changes. None impact,Closed-CC Issued,0,ePlan,,-81.9592242933463,26.511089095568213,2023-04-01,-81.959061314207,26.511219978758,23.26897151118353,932
"Remove existing roof, install underlayment, install shingles",Closed-CC Issued,0,ePlan,,-81.9592242933463,26.511089095568213,2023-05-01,-81.959061314207,26.511219978758,23.26897151118353,932
"Remove existing roof, install underlayment, install shingles",Closed-CC Issued,0,ePlan,,-81.9592242933463,26.511089095568213,2023-05-01,-81.959061314207,26.511219978758,23.26897151118353,932
"Rebuild a 1482 sq. ft. hurricane-damaged dock in existing footprint, and reinstall existing boat lift.",Closed-CC Issued,0,ePlan,,-81.96037101914577,26.522950704748308,2023-07-01,-81.96017015806,26.522892087343,23.292543167719767,1098
"Installing 2 motorized roll down shutters, Replacing 24 windows*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.95599762391254,26.507489829502987,2022-11-01,-81.956206374451,26.507473496373,23.30913167740113,148
Interior Remodel,Ready-Documents Required,0,Paper Submittal,,-81.95599762391254,26.507489829502987,2023-02-01,-81.956206374451,26.507473496373,23.30913167740113,148
Replacing three windows size for size with impact,Closed-CC Issued,0,ePlan,,-81.96996555659446,26.51492219810166,2022-11-01,-81.969849165444,26.515096752662,23.354976972800813,400
Replacing hurricane damaged pool cage same foot print,Closed-CC Issued,0,ePlan,,-81.96996555659446,26.51492219810166,2022-11-01,-81.969849165444,26.515096752662,23.354976972800813,400
"Roof Replacement*Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.96996555659446,26.51492219810166,2023-04-01,-81.969849165444,26.515096752662,23.354976972800813,400
Install solar pool heat with manual control,Closed-CC Issued,0,ePlan,,-81.97576581206184,26.512890403519137,2023-04-01,-81.975556989387,26.512869283893,23.364725686639623,1475
Remove and replace existing roof.,Closed-CC Issued,0,ePlan,,-81.97576581206184,26.512890403519137,2023-07-01,-81.975556989387,26.512869283893,23.364725686639623,1475
"Replacement windows, size for size (7 windows)",Closed-CC Issued,0,ePlan,,-81.97022326169792,26.505719349601183,2023-02-01,-81.970433526602,26.505730480545,23.439463649039794,285
AC CHANGEOUT SPLIT SYSTEM LIKE FOR LIKE 10 KW 4 TON 14 SEER,Permit Expired,0,ePlan,,-81.97022326169792,26.505719349601183,2023-03-01,-81.970433526602,26.505730480545,23.439463649039794,285
reroof Shingles,Closed-CC Issued,0,Paper Submittal,,-81.96611422570261,26.51433580519539,2023-08-01,-81.965967390556,26.514184768831,23.449325779889854,1204
Hurricane Ian Damage - Re-model,Closed-CC Issued,0,Paper Submittal,,-81.95561428735638,26.50801381682623,2022-12-01,-81.955403678077,26.508018765947,23.451497328376515,663
AC CHANGEOUT SPLIT SYSTEM LIKE FOR LIKE 5 TON 14 SEER 10KW,Permit Expired,0,ePlan,,-81.97076308829199,26.50548728267338,2023-03-01,-81.97055231348,26.50549866415,23.497634700987867,313
"Replace 74' of seawall in same footprint (10' panels, 10x20"" Cap, 2 Rets)",Closed-CC Issued,0,ePlan,,-81.96753380391576,26.51584176765188,2022-11-01,-81.967323941647,26.515864599855,23.499723545490017,786
Replacement of screen enclosure on existing foundation,Closed-CO Issued,0,ePlan,,-81.97487004499082,26.51211056379052,2023-08-01,-81.974689992474,26.511999904857,23.526293156448368,1441
RE ROOF SHINGLE TO METAL NOA'S  19-0807.02 & 20-1008.03,Closed-CC Issued,0,ePlan,,-81.96461403566376,26.514996323559973,2023-04-01,-81.964731604378,26.515172037604,23.535119450084995,1068
5ft Aluminum Yard Fence,Closed-CC Issued,0,ePlan,,-81.9711159915862,26.5167947310164,2022-08-01,-81.971014742906,26.516609122772,23.536142964754124,482
Hurricane damaged mobile home demolition with debris cleanup. pool to remain. Property being sold and new owners will be installing new mobile home soon,Closed-CC Issued,0,ePlan,,-81.96738018278036,26.513878502703456,2023-01-01,-81.967442819695,26.513676532409,23.53974070759591,48
Install service pole,Closed-Withdrawn,0,ePlan,,-81.96738018278036,26.513878502703456,2023-07-01,-81.967442819695,26.513676532409,23.53974070759591,48
Replace Split System AC,Closed-CC Issued,0,ePlan,,-81.96561818984499,26.51832495262008,2022-11-01,-81.965758760549,26.518483787581,23.611564448823813,764
